File: 제22대국회 제417회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 38
File: 제22대국회 제417회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 이훈 | Count: 34
File: 제22대국회 제417회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 24
File: 제22대국회 제417회(임시회) 제4차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 22
File: 제22대국회 제417회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 34
File: 제22대국회 제417회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 20
File: 제22대국회 제417회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword [contains 원회]: 위원회 | Count: 14
File: 제22대국회 제417회(임시회) 제5차 과학기술정보방송통신위원회(전체회의 | Keyword: 하지 | Count: 10
File: 제22대국회 제417회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 58
File: 제22대국회 제417회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 16
File: 제22대국회 제417회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 이훈 | Count: 12
File: 제22대국회 제417회(임시회) 제6차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 9
File: 제22대국회 제417회(임시회) 제7차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 253
File: 제22대국회 제417회(임시회) 제7차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 16
File: 제22대국회 제417회(임시회) 제8차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 37
File: 제22대국회 제417회(임시회) 제8차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 15
File: 제22대국회 제417회(임시회) 제8차 과학기술정보방송통신위원회(전체회의 | Keyword: 하지 | Count: 11
File: 제22대국회 제417회(임시회) 제9차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 22
File: 제22대국회 제417회(임시회) 제9차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 17
File: 제22대국회 제417회(임시회) 제9차 과학기술정보방송통신위원회(전체회의 | Keyword: 국민 | Count: 12
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 대표발 | Count: 141
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 그리 | Count: 22
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 이훈 | Count: 13
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(정보통신 | Keyword: 필요 | Count: 12
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 대표발 | Count: 71
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 필요 | Count: 21
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(과학기술 | Keyword: 근거 | Count: 11
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(예산결산 | Keyword: 필요 | Count: 48
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(예산결산 | Keyword: 이훈 | Count: 20
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(예산결산 | Keyword: 그리 | Count: 16
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 39
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 29
File: 제22대국회 제418회(정기회) 제1차 과학기술정보방송통신위원회(전체회의 | Keyword: 근거 | Count: 15
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(예산결산 | Keyword [contains 원회]: 방송통신위원회부 | Count: 50
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(예산결산 | Keyword: 그리 | Count: 48
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(예산결산 | Keyword: 필요 | Count: 18
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(예산결산 | Keyword: 이훈 | Count: 18
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(예산결산 | Keyword: 국민 | Count: 13
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 그리 | Count: 35
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 이렇 | Count: 30
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(전체회의 | Keyword: 이훈 | Count: 18
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(전체회의 | Keyword: 대표발 | Count: 39
